utc_timestamp,cet_cest_timestamp,DE_load_actual_entsoe_transparency,DE_solar_generation_actual,DE_wind_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,41987,0,8644
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,40665,0,8814
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,39510,0,9054
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,38537,0,9070
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,38153,0,9164
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,37927,0,9232
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,37921,0,9688
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,39143,0,10331
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,39891,53,10208
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,41618,773,10029
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,43858,2116,10550
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,46208,3364,11390
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,47556,4198,12103
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,46674,3500,12505
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,45923,2279,11921
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,46347,746,11851
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,48230,50,13582
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,51634,0,15436
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,51307,0,16868
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,50138,0,18008
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,47092,0,19181
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,45182,0,20352
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,49365,0,21236
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,46468,0,22083
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,43254,0,22472
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,41608,0,23434
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,40839,0,24248
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,40577,0,25034
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,41364,0,25721
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,43445,0,26172
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,46679,0,26355
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,51275,0,26193
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,55305,38,26590
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,57513,253,25934
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,59351,667,25642
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,60451,1262,25811
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,60104,1726,25642
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,59568,1899,25795
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,58561,1352,25297
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,58012,516,24982
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,59287,45,24720
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,62208,0,24301
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,62007,0,25010
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,59408,0,24783
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,55695,0,24279
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,53446,0,24367
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,51544,0,24546
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,46400,0,24626
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,41444,0,24076
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,39216,0,23277
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,37573,0,22117
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,36665,0,20918
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,36918,0,20291
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,37443,0,20508
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,38926,0,21327
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,41790,0,21946
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,44871,74,22980
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,48258,608,23419
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,50221,1279,23096
2015-01-03T10:00:00Z,2015-01-03T11:00:00+0100,52668,1700,23230
2015-01-03T11:00:00Z,2015-01-03T12:00:00+0100,53328,1618,22829
2015-01-03T12:00:00Z,2015-01-03T13:00:00+0100,52906,1155,21174
2015-01-03T13:00:00Z,2015-01-03T14:00:00+0100,51660,586,19464
2015-01-03T14:00:00Z,2015-01-03T15:00:00+0100,51104,194,17468
2015-01-03T15:00:00Z,2015-01-03T16:00:00+0100,53047,22,16038
2015-01-03T16:00:00Z,2015-01-03T17:00:00+0100,56014,0,15378
2015-01-03T17:00:00Z,2015-01-03T18:00:00+0100,55926,0,14448
2015-01-03T18:00:00Z,2015-01-03T19:00:00+0100,53865,0,12946
2015-01-03T19:00:00Z,2015-01-03T20:00:00+0100,49932,0,13871
2015-01-03T20:00:00Z,2015-01-03T21:00:00+0100,48014,0,15216
2015-01-03T21:00:00Z,2015-01-03T22:00:00+0100,47602,0,15811
2015-01-03T22:00:00Z,2015-01-03T23:00:00+0100,45492,0,17337
2015-01-03T23:00:00Z,2015-01-04T00:00:00+0100,42859,0,17864
2015-01-04T00:00:00Z,2015-01-04T01:00:00+0100,38999,0,18736
2015-01-04T01:00:00Z,2015-01-04T02:00:00+0100,37130,0,18898
2015-01-04T02:00:00Z,2015-01-04T03:00:00+0100,36367,0,18966
2015-01-04T03:00:00Z,2015-01-04T04:00:00+0100,36486,0,19098
